Id,Headline,Political,Sensationalism,Framing,Stereotyping
1,"स्थानीय तहको विवरण: नयाँ निर्णयसँगै, महिला टोलीले ऐतिहासिक सफलता हात पार्‍यो",0,0,0,0
2,"पछिल्लो घटनाक्रम: आज सार्वजनिक जानकारीअनुसार, युवा खेलाडीलाई राष्ट्रिय टोलीमा अवसर",0,0,0,0
3,सरकारी कर्मचारी कामचोर भएको आम गुनासो,0,0,0,0
4,अनुगमनको क्रममा कलाकारको नयाँ सिर्जनाले कला क्षेत्रमा ठूलो हलचल ,0,0,0,0
5,"यसैबीच, आज सार्वजनिक जानकारीअनुसार, प्रहरीमाथि अधिकार दुरुपयोग गरेको आरोप",0,0,1,0
6,"छलफलपछि, शहरको मुख्य चोकमा ट्राफिक जामले यात्रु हैरान",0,0,0,0
7,अनुगमनको क्रममा नयाँ सार्वजनिक शौचालय सञ्चालनमा आएपछि यात्रुलाई राहत ,0,0,0,0
8,महिला उद्यमीले नयाँ बजारमा उत्पादन पुर्‍याइन्,0,0,0,0
9,"घटनाक्रममा बैठकपछि, सांसदको टिप्पणीपछि संसद् बाहिरसमेत राजनीतिक विवाद चर्कियो",0,1,0,0
10,यात्रामा महिलाले असुरक्षित महसुस गर्ने गरेको सर्वेक्षण,0,0,0,1
11,पछिल्लो घटनाक्रम: सरकारले महिला व्यवसायीका लागि सहुलियत कर्जा विस्तार गर्‍यो ,0,0,0,0
12,"नयाँ तथ्य सार्वजनिक: घटनापछि, पर्यटन क्षेत्रलाई सरकारको नयाँ कर नीतिले असर गर्ने व्यवसायीको दाबी",0,0,0,0
13,सिँचाइ आयोजना सम्पन्न गर्न स्थानीयले दबाब दिए; प्रति सरोकारवालाले मिश्रित प्रतिक्रिया दिएका छन्,0,0,0,0
14,पछिल्लो घटनाक्रम: शिक्षक संघले शिक्षा नीतिलाई व्यवहारिक नभएको आरोप लगायो,0,0,0,0
15,"पछिल्लो घटनाक्रम: पछिल्लो विवरणअनुसार, डढेलो फैलिएपछि जंगलमा भयावह अवस्था",0,0,0,0
16,"घटनापछि, विपक्षी दलले यातायात नीति असफल भएको दाबी लगायो",1,0,1,0
17,"छलफलपछि, उद्योगीले कर नीतिले व्यवसाय धरापमा परेको जनाए",0,0,0,0
18,"घटनापछि, पर्यटन क्षेत्रमा विदेशी पाहुनामाथि निर्भरता बढेको चिन्ता",0,0,0,0
19,"पछिल्लो घटनाक्रम: नयाँ निर्णयसँगै, बाढीले खानेपानीको मुख्य पाइप बगाएपछि सेवा अवरुद्ध",0,0,0,0
20,"यसैबीच, बैठकपछि, संगीत कार्यक्रमको टिकट महँगो भएपछि दर्शक असन्तुष्ट",0,0,0,0
21,ताजा रिपोर्टअनुसार शिक्षा नीति भन्दै पक्षको दाबी,0,0,1,0
22,समर्थकहरूले सार्वजनिक यातायात सुधार लाई दीर्घकालीन उपलब्धिका रूपमा व्याख्या गरे,0,0,0,0
23,"पछिल्लो घटनाक्रम: आज सार्वजनिक जानकारीअनुसार, विद्यार्थीहरू पढाइमा गम्भीर नहुने भन्दै आलोचना",0,0,1,0
24,"घटनाक्रममा नयाँ निर्णयसँगै, शहरको मुख्य चोकमा पानी जम्दा आवागमन असर परेको",0,0,0,0
25,निर्णयपछि युवा कलाकारलाई अवसर नदिएको भन्दै आयोजकमाथि सवाल ,0,0,1,0
26,प्रदूषण बढ्दा सहरवासीको स्वास्थ्य जोखिममा,0,0,0,0
27,"अनुगमनपछि, फोहोर फाल्ने बानीले शहरलाई संकटतर्फ धकेलेको चेतावनी",0,0,0,0
28,कृषि सम्बन्धी सामाजिक सञ्जालमा फैलिएको दाबी विवादमा,0,0,0,0
29,"कृषि बजारमा बिचौलियाको प्रभावबारे किसानको गुनासो, प्रभावबारे विज्ञले अध्ययन आवश्यक बताएका छन् भनिएको छ",0,0,0,0
30,नयाँ तथ्य सार्वजनिक: लगातार हारपछि प्रशिक्षकमाथि दबाब ,0,0,0,0
31,सरकारले नयाँ कृषि नीति कार्यान्वयन गर्ने तयारी; भोलिदेखि लागू गर्ने तयारी,0,0,0,0
32,महिलाले नेतृत्व गर्न नसक्ने पुरानो धारणामाथि बहस,0,0,0,0
33,स्थानीय तहको विवरण: युवा पुस्ता मेहनत गर्नै नचाहने टिप्पणीप्रति आलोचना ,0,0,1,0
34,"स्थानीय विवरणअनुसार, किसानले उचित मूल्य नपाएको भन्दै बजारमा विरोध गरे",0,0,1,0
35,शिक्षा क्षेत्रमा सरकार असफल भएको विपक्षीको आरोप,1,0,0,0
36,आलोचनापछि ऊर्जा परियोजना भन्दै आलोचकको प्रतिक्रिया,0,0,1,0
